Threads,Execution Time,Speed-Up,Parallelization_Fraction
1,23.31,1.0,
2,11.745,1.9846743295019158,99.22779922779922
4,6.523,3.57350912156983,96.02173602173602
6,5.507,4.232794625022699,91.64993564993564
8,4.84,4.816115702479339,90.5558619844334
10,4.159,5.6047126713152196,91.28652461985796
12,3.565,6.538569424964937,92.40669240669241
16,4.298,5.423452768729641,86.998998998999
32,4.269,5.460295151089247,84.32100303068044
64,4.512,5.1662234042553195,81.9235562092705
128,3.904,5.970799180327869,83.90734941916045
150,3.956,5.892315470171891,83.58598291484198
