Threads,Execution Time,Speed-Up,Parallelization_Fraction
1,23.121,1.0,
2,11.681,1.9793682047769883,98.9576575407638
4,6.847,3.37680736088798,93.84830529244698
6,5.602,4.1272759728668325,90.92513299597768
8,4.921,4.698435277382646,89.96150685523983
10,4.31,5.364501160092807,90.39881973578613
12,3.783,6.1118160190325135,91.24172829894901
16,4.386,5.271545827633378,86.43224774014963
32,4.321,5.350844711872252,83.9343091254843
64,4.856,4.7613261943986815,80.25137595657903
128,4.87,4.747638603696098,79.55844756462662
150,4.433,5.215655312429506,81.36941662900371
