Threads,Execution Time,Speed-Up,Parallelization_Fraction
1,25.538,1.0,
2,13.977,1.8271445946912785,90.53958806484455
4,7.782,3.2816756617836034,92.70368339990081
6,6.901,3.7006230981017247,87.5730284282246
8,6.143,4.1572521569265835,86.79502813734156
10,6.247,4.0880422602849364,83.93157038313275
12,5.916,4.316768086544963,83.81947756996703
16,6.391,3.995931779064309,79.97285091497638
32,6.53,3.9108728943338438,76.8312369422922
64,6.459,3.953862827063013,75.89412354076775
128,6.28,4.06656050955414,76.00296732428377
150,6.145,4.155899104963385,76.44746793960415
