Threads,Execution Time,Speed-Up,Parallelization_Fraction
1,25.349,1.0,
2,14.586,1.7378993555464144,84.91853722040317
4,7.718,3.2844001036537964,92.73738609018109
6,6.81,3.7223201174743026,87.7620418951438
8,6.062,4.181623226657869,86.95524760063795
10,5.586,4.537952022914428,86.62625306279888
12,4.951,5.119975762472229,87.78399004443425
16,5.831,4.347281769850797,82.13026154877903
32,5.667,4.4730898182459855,80.14873654111189
64,5.985,4.235421888053467,77.60213451956717
128,6.331,4.0039488232506715,75.61540112626165
150,5.851,4.332421808237908,77.43445130144259
